rank,pid,name,hop1_count,hop2_count,hop3_count,hop4_count,avgDistance_diff
133,5365,Clifton Collins Jr.,1783,116439,43882,125,4.5e-05
134,22226,Paul Rudd,1834,116236,43986,173,-3.7e-05
135,7399,Ben Stiller,2023,115575,44499,132,-4.5e-05
136,3131,Antonio Banderas,1586,116447,44032,164,-3.6e-05
137,6193,Leonardo DiCaprio,1886,115749,44392,202,3e-06
138,2505,James Cromwell,1623,116080,44418,108,2.5e-05
139,879,Billy Bob Thornton,1848,115618,44648,115,4.2e-05
140,227,William Hurt,1601,116101,44412,115,1e-05
141,517,Pierce Brosnan,1938,115336,44885,70,-6e-06
142,21088,Alan Tudyk,1709,115744,44662,114,-2.7e-05
143,19152,Dylan Baker,1701,115725,44699,104,2.7e-05
144,13014,Toby Jones,2041,114811,45249,128,1.8e-05
145,1037,Harvey Keitel,1823,115113,45210,83,-3.4e-05
146,2955,Chris Cooper,1567,115589,44944,129,-2.8e-05
147,207,Tom Wilkinson,1800,114939,45359,131,1.8e-05
148,9642,Jude Law,1778,114874,45461,116,-2e-06
149,1461,George Clooney,1596,115166,45333,134,-4.8e-05
150,3063,Tilda Swinton,2107,113783,46245,94,3.1e-05
151,15661,Clint Howard,1956,114107,45996,170,-3.6e-05
152,4492,Philip Baker Hall,1680,114590,45826,133,-3.9e-05
153,17051,James Franco,1630,114689,45770,140,1e-05
154,9281,Elizabeth Banks,1988,114014,46039,188,-4.6e-05
155,9273,Amy Adams,2174,113595,46297,163,-1.1e-05
156,60279,Fred Tatasciore,1719,114467,45893,150,4.3e-05
157,139,Uma Thurman,1448,114660,45972,149,-1.2e-05
158,3234,Joan Cusack,1949,113679,46425,176,2.5e-05
159,19292,Adam Sandler,2489,112506,47070,164,2.5e-05
160,2039,Brendan Gleeson,1879,113631,46629,90,-4.6e-05
161,9780,Angela Bassett,1882,113687,46477,183,4.5e-05
162,8191,Chris Ellis,1497,114247,46343,142,-1.3e-05
163,8447,Jeff Daniels,1508,114172,46419,130,4e-05
164,17832,Carla Gugino,1594,113899,46532,204,1.8e-05
165,17605,Idris Elba,1910,113197,46980,142,-3.2e-05
166,515,Glenn Close,1516,113992,46553,168,-1.5e-05
167,1771,Giovanni Ribisi,1499,113924,46697,109,5e-05
168,4238,Common,1473,114010,46572,174,4.1e-05
169,5151,Beth Grant,1479,113870,46775,105,5e-06
170,11006,James Marsden,1885,113138,47027,179,-3.2e-05
171,17141,Greg Kinnear,1624,113517,46962,126,2.3e-05
172,7132,Vincent D'Onofrio,1647,113610,46700,272,-3.4e-05
173,4784,Laura Dern,1706,113248,47148,127,-2.4e-05
174,20750,Judy Greer,1642,113385,47033,169,-2.1e-05
175,4724,Kevin Bacon,1581,113396,47119,133,4.2e-05
176,2632,Chris Rock,2050,112452,47556,171,1.3e-05
177,1903,Alan Arkin,1586,113241,47217,185,-4.4e-05
178,5049,John Hurt,1797,112577,47724,131,1.5e-05
179,5576,Val Kilmer,1459,113248,47380,142,1.3e-05
180,5469,Ralph Fiennes,2125,111859,48152,93,-3.7e-05
181,49275,Spencer Garrett,1401,113335,47300,193,7e-06
182,8891,John Travolta,1763,112503,47807,156,4.4e-05
183,16828,Chris Evans,1584,112720,47764,161,4.4e-05
184,60205,John Rothman,1934,112011,48120,164,1.8e-05
185,1920,Winona Ryder,1598,112667,47772,192,-1.1e-05
186,3490,Adrien Brody,1769,112184,48171,105,2.2e-05
187,8691,Zoe Saldaña,1508,112747,47817,157,-1e-05
188,8785,Ciarán Hinds,2004,111677,48431,117,2.4e-05
189,11367,Bradley Whitford,1697,112252,48086,194,3.9e-05
190,1813,Anne Hathaway,1881,111738,48438,172,4e-06
191,17039,Nick Offerman,1559,112388,48095,187,-4.1e-05
192,2882,Diane Lane,1432,112545,48147,105,-4.8e-05
193,14329,Dean Norris,1514,112434,48104,177,-3.1e-05
194,2228,Sean Penn,1775,111871,48418,165,4.7e-05
195,4808,Giancarlo Esposito,1837,111688,48584,120,3.4e-05
196,12438,Bob Balaban,1918,111526,48677,108,-4e-05
197,4495,Steve Carell,1717,111941,48356,215,3.9e-05
198,2130,Cary Elwes,1536,112242,48294,157,-4.2e-05
199,17419,Bryan Cranston,1640,112007,48427,155,1.2e-05
200,418,Robert Patrick,1387,112421,48299,122,-2.4e-05
201,6486,Dan Hedaya,1493,112244,48330,162,6e-06
202,1229,Jeff Bridges,1512,112100,48501,116,-2.4e-05
203,32,Robin Wright,1394,112312,48412,111,-7e-06
204,19492,Viola Davis,1648,111855,48523,203,4.6e-05
205,6968,Hugh Jackman,1813,111440,48845,131,2.6e-05
206,504,Tim Robbins,1476,112012,48644,97,4.5e-05
207,4587,Halle Berry,1412,112211,48411,195,1.2e-05
208,10859,Ryan Reynolds,1522,111986,48533,188,-1e-06
209,938,Djimon Hounsou,1539,111870,48651,169,-1.2e-05
210,20212,Dermot Mulroney,1413,112097,48542,177,-9e-06
211,3911,John Carroll Lynch,1655,111584,48791,199,6e-06
212,19278,Bill Hader,1685,111461,48897,186,1.4e-05
213,9048,Clark Gregg,1442,111907,48710,170,-3.8e-05
214,12797,Glenn Morshower,1486,111693,48968,82,-4e-06
215,61607,Adam LeFevre,1718,111330,48993,188,2.7e-05
216,819,Edward Norton,1979,110814,49225,211,3.2e-05
217,6941,Cameron Diaz,1598,111499,48899,233,4.2e-05
218,18262,Richard Riehle,1925,110720,49430,154,2.5e-05
219,3136,Salma Hayek Pinault,1445,111659,48956,169,4.7e-05
220,121718,Bill Camp,1946,110533,49648,102,-1e-06
221,3392,Michael Douglas,1560,111387,49042,240,4.4e-05
222,539,Thomas Lennon,1444,111480,49172,133,4.1e-05
223,73457,Chris Pratt,1360,111700,48980,189,-3.4e-05
224,19839,David Paymer,1430,111565,48995,239,4.3e-05
225,193,Gene Hackman,1746,110770,49605,108,4e-05
226,2224,Christian Slater,1463,111351,49293,122,3.4e-05
227,2461,Mel Gibson,1588,111107,49352,182,-3.3e-05
228,18277,Sandra Bullock,1512,111171,49366,180,-3e-06
229,3051,Toni Collette,1517,110981,49587,144,-1.5e-05
230,21007,Jonah Hill,1786,110456,49787,200,5e-05
231,5916,Rosario Dawson,1652,110575,49812,190,7e-06
232,43010,Thomas Rosales Jr.,1976,109825,50349,79,-4.9e-05
233,2229,Catherine Keener,1540,110797,49696,196,-4.4e-05
234,6413,Danny Huston,1535,110879,49527,288,-2.1e-05
235,22970,Peter Dinklage,1680,110213,50224,112,1.2e-05
236,6856,Kurt Russell,1421,110668,49963,177,1e-06
237,28638,David Koechner,1815,109902,50308,204,3.2e-05
238,388,Jim Broadbent,2195,109271,50415,348,2.4e-05
239,3197,Tom Sizemore,1265,110791,50021,152,1.2e-05
240,4443,Christopher McDonald,1739,109756,50589,145,5e-06
241,8984,Bill Pullman,1494,110251,50329,155,3.6e-05
242,9777,Cuba Gooding Jr.,1532,110171,50285,241,-9e-06
243,10872,Patton Oswalt,1598,109927,50580,124,-4e-05
244,71580,Benedict Cumberbatch,1546,110083,50403,197,-1.1e-05
245,3910,Frances McDormand,1637,109751,50758,83,1.1e-05
246,2295,Mickey Rourke,1425,110168,50538,98,4.7e-05
247,18324,Steve Zahn,1573,109962,50521,173,-4.6e-05
248,13023,Colleen Camp,1494,110024,50535,176,-3.5e-05
249,36422,Luke Wilson,1496,110070,50405,258,-3.8e-05
250,5587,Hank Azaria,1392,110203,50405,229,4.5e-05
251,8986,James Rebhorn,1384,110147,50509,189,4.3e-05
253,569,Ethan Hawke,1631,109555,50853,190,-4.7e-05
255,4029,Bob Gunton,1373,110026,50677,153,2e-06
256,16483,Sylvester Stallone,1864,108992,51253,120,1.9e-05
257,5294,Chiwetel Ejiofor,1584,109545,50905,195,2.5e-05
258,41091,Kristen Wiig,1647,109364,51070,148,-2.6e-05
259,18918,Dwayne Johnson,1689,109224,51156,160,-7e-06
260,12132,Michael Rooker,1466,109523,51118,122,-3.5e-05
261,976,Jason Statham,1543,109143,51421,122,-4.2e-05
263,588,M. Emmet Walsh,1585,108983,51461,200,8e-06
264,15440,Jared Harris,1377,109328,51397,127,-5e-06
265,38582,David Krumholtz,1313,109554,51137,225,-5e-06
266,5170,Mike Starr,1859,108323,51906,141,3.4e-05
267,131,Jake Gyllenhaal,1458,109164,51394,213,3.8e-05
268,2888,Will Smith,1698,108640,51728,163,1e-06
269,4581,Steve Coogan,1454,109101,51505,169,4e-06
270,3041,Marshall Bell,1455,109072,51533,169,-2.9e-05
271,516,Annette Bening,1222,109498,51347,162,-2.6e-05
272,69597,Drew Barrymore,1613,108775,51601,240,-9e-06
273,7056,Emma Thompson,1949,108027,52041,212,-1.3e-05
274,4512,James Woods,1908,108135,51921,265,-4.7e-05
276,1665,Eddie Marsan,1910,107861,52326,132,-2e-06
280,352,Dennis Haysbert,1721,108185,52080,243,1.5e-05
282,368,Reese Witherspoon,1543,107922,52607,157,0.0
285,204,Kate Winslet,1456,107994,52632,147,-3.2e-05
287,206,Jim Carrey,1573,107556,52905,195,2.1e-05
288,349,Scott Glenn,1199,108336,52420,274,1.1e-05
290,526,Lukas Haas,1472,107645,52918,194,1.1e-05
292,2395,Whoopi Goldberg,1579,107428,52936,286,-3e-06
293,133,Peter Sarsgaard,1362,107740,52949,178,-1.7e-05
294,298410,Keegan-Michael Key,1745,106980,53298,206,1.9e-05
295,12900,Wallace Shawn,1367,107748,52839,275,-3e-05
296,71070,Amanda Seyfried,1676,107078,53231,244,-0.0
297,58535,Paul Herman,1917,106477,53691,144,1.7e-05
299,9278,Jennifer Garner,1555,107196,53177,301,1.5e-05
303,1640,Stellan Skarsgård,1762,106395,53927,145,3.9e-05
304,7497,Holt McCallany,1348,107313,53334,234,3.3e-05
305,53256,Terry Crews,1563,106704,53722,240,-2.7e-05
306,11701,Angelina Jolie,1451,106832,53776,170,3.4e-05
307,17276,Gerard Butler,1495,106667,53971,96,-4.8e-05
308,4135,Robert Redford,1332,106952,53828,117,3.4e-05
310,6161,Jennifer Connelly,1303,106986,53815,125,3.2e-05
312,2983,Mark Strong,1879,105688,54579,83,-2.7e-05
314,8349,Martin Sheen,1508,106562,53892,267,-7e-06
315,2141,Ned Bellamy,1259,106932,53875,163,4.1e-05
318,17178,Patrick Wilson,1521,106313,54243,152,-4.1e-05
321,5048,Harry Dean Stanton,1524,105929,54621,155,7e-06
322,40543,John Ortiz,1517,106085,54336,291,-3e-05
324,8265,John Michael Higgins,1698,105556,54743,232,3.6e-05
326,6752,Željko Ivanek,1178,106385,54507,159,-1.3e-05
328,529,Guy Pearce,1324,105976,54775,154,-2.3e-05
330,7026,Rhys Ifans,1458,105699,54858,214,3e-06
331,6886,Christina Ricci,1207,106038,54843,141,-4.3e-05
332,67773,Steve Martin,1602,105254,55213,160,3.7e-05
333,23532,Jason Bateman,1508,105458,55040,223,2.7e-05
334,73421,Joaquin Phoenix,1365,105710,54964,190,3.3e-05
335,20766,Richard E. Grant,1317,105828,54866,218,-3e-05
338,3201,Pruitt Taylor Vince,1163,105931,54959,176,-2.5e-05
339,52792,Maya Rudolph,1581,105073,55390,185,-3.4e-05
341,3801,Tracey Walter,1658,104908,55410,253,-4.7e-05
342,501,Dakota Fanning,1230,105690,55098,211,-5e-05
345,5081,Emily Blunt,1211,105611,55252,155,2.6e-05
349,8289,Billy Crudup,1386,105321,55264,258,-9e-06
351,7248,Cliff Curtis,1362,105127,55592,148,5e-06
352,83586,Ken Jeong,1444,104960,55663,162,1e-05
354,8854,Bill Cobbs,1376,105082,55575,196,6e-06
356,56890,Malcolm McDowell,1240,105178,55649,162,-1.9e-05
359,25072,Oscar Isaac,1413,104681,56002,133,3.3e-05
361,15033,Justin Long,1415,104766,55802,246,-1.9e-05
362,68842,John Cho,1405,104637,56052,135,1.5e-05
364,1893,Casey Affleck,1125,105223,55542,339,1.3e-05
365,55638,Kevin Hart,1491,104371,56078,289,4.4e-05
367,12835,Vin Diesel,1260,104633,56202,134,2.1e-05
368,925,Paul Guilfoyle,1468,104218,56338,205,-4.7e-05
369,15152,James Earl Jones,1228,104644,56200,157,-1e-05
370,3967,Kate Beckinsale,1118,104769,56220,122,-4e-05
376,38334,Jennifer Coolidge,1575,103539,56982,133,-2.5e-05
378,56734,Chloë Grace Moretz,1268,104128,56649,184,4.4e-05
379,10959,Shia LaBeouf,1122,104371,56584,152,4.9e-05
381,80619,Steve Coulter,1377,103838,56835,179,-4.3e-05
385,1100,Arnold Schwarzenegger,1478,103285,57334,132,3.1e-05
389,59233,Scoot McNairy,1309,103566,57210,144,-4.4e-05
390,18269,Brendan Fraser,1358,103460,57220,191,-5e-06
394,3977,Joe Morton,1329,103384,57278,238,1.1e-05
396,74568,Chris Hemsworth,1248,103407,57403,171,-4.5e-05
397,39390,Michael Kenneth Williams,1108,103641,57310,170,3.2e-05
398,16940,Jeremy Irons,1498,102841,57731,159,-1.3e-05
400,11514,Catherine O'Hara,1117,103588,57343,181,1.6e-05
401,3293,Rachel Weisz,1391,103013,57662,163,-2.9e-05
403,18050,Elle Fanning,1212,103309,57534,174,2.1e-05
404,234352,Margot Robbie,1609,102580,57786,254,1.3e-05
406,2440,Bill Nighy,1827,102027,58223,152,6e-06
408,17881,Jason Schwartzman,1744,102144,58161,180,-1.9e-05
413,3416,Demi Moore,1203,103104,57723,199,5e-05
418,19274,Seth Rogen,1394,102522,58112,201,-5e-06
420,3291,Hugh Grant,1408,102286,58428,107,-2e-06
421,41087,Leslie Mann,1194,102804,58041,190,-4.6e-05
424,15009,Justin Theroux,1121,102990,57821,297,-3.3e-05
431,11207,David Thewlis,1581,101664,58822,162,3.8e-05
432,26473,Fisher Stevens,1508,101902,58558,261,-1.9e-05
433,21657,Vera Farmiga,1299,102152,58571,207,-1.6e-05
434,7404,Sarah Silverman,1400,101964,58617,248,-5e-05
435,7907,John Ratzenberger,1431,101845,58719,234,1.5e-05
436,76512,Jason Clarke,1326,102039,58656,208,-4.6e-05
438,65717,Jon Hamm,1305,102097,58512,315,1.5e-05
439,10814,Wesley Snipes,1481,101739,58686,323,1e-06
440,1062,Christopher Lloyd,1356,101777,58889,207,-7e-06
442,30614,Ryan Gosling,1444,101549,59071,165,-4.6e-05
444,7499,Jared Leto,1161,102025,58873,170,4e-05
446,4756,Matthew Broderick,1202,101959,58829,239,-3.3e-05
448,36594,Juno Temple,1161,101956,58932,180,2.7e-05
449,2876,Matt Dillon,1273,101747,58965,244,2.9e-05
450,19498,Jon Bernthal,1288,101732,58871,338,1.6e-05
451,3085,James Caan,1169,101716,59155,189,-3.7e-05
452,40462,Kristen Bell,1223,101590,59233,183,3.7e-05
453,13922,Seth Green,1401,101201,59420,207,-1.2e-05
455,1981,Alfre Woodard,1290,101311,59442,186,4.9e-05
456,10871,Natasha Lyonne,1380,101116,59548,185,3.6e-05
459,1023139,Adam Driver,1249,101415,59339,226,-4e-05
460,51456,Rhoda Griffis,1376,101238,59296,319,-4.1e-05
462,42157,Ed Begley Jr.,1316,101194,59514,205,-3.3e-05
464,2387,Patrick Stewart,1110,101590,59307,222,-2.9e-05
468,35515,June Squibb,1064,101574,59346,245,-2.2e-05
469,11108,Simon Pegg,1460,100687,59892,190,2.5e-05
470,17604,Jeremy Renner,1132,101357,59548,192,-4.9e-05
472,17697,John Krasinski,1166,101169,59694,200,4e-05
477,55536,Melissa McCarthy,1261,100897,59868,203,-3.6e-05
479,88124,Jesse Plemons,1520,100391,60061,257,2.2e-05
481,79072,Kevin Durand,1157,100943,59928,201,5e-05
482,23680,Dee Bradley Baker,1225,100841,59912,251,4.8e-05
485,6751,Siobhan Fallon Hogan,1169,100934,59780,346,-4.9e-05
487,72873,Michael Stuhlbarg,1111,101021,59777,320,-3e-05
488,8654,Matthew Modine,1138,100849,60022,220,-1.9e-05
490,54693,Emma Stone,1306,100393,60373,157,3.2e-05
494,2299,Josh Hartnett,920,101055,60137,117,-3.7e-05
496,62064,Chris Pine,1371,100139,60559,160,1.5e-05
497,19159,Thomas Haden Church,1064,100801,60121,243,3.1e-05
498,33241,Michael Gaston,1085,100761,60130,253,-2e-05
505,6181,Josh Pais,1114,100437,60449,229,-2.8e-05
509,6197,Brian Dennehy,1041,100453,60537,198,-1.8e-05
510,1283,Helena Bonham Carter,1553,99372,61128,176,-2e-06
511,59315,Olivia Wilde,1181,100173,60613,262,-2.4e-05
512,61110,Fred Armisen,1327,99846,60833,223,-4.8e-05
513,63,Milla Jovovich,1228,99817,60994,190,4.8e-05
515,60898,Sebastian Stan,1387,99516,61124,202,1.7e-05
516,1473,Daniel von Bargen,1209,99888,60897,235,2.1e-05
521,2219,Tobey Maguire,1190,99984,60717,338,-1e-06
522,514,Jack Nicholson,1352,99514,61104,259,1.2e-05
524,3129,Tim Roth,1172,99855,60817,385,6e-06
526,140,Lucy Liu,1089,99885,60912,343,-1.5e-05
527,37917,Kristen Stewart,1156,99630,61219,224,-3e-06
528,78798,Tom Kenny,1015,99947,61007,260,4e-06
531,1333,Andy Serkis,1254,99312,61476,187,2.1e-05
532,10430,Fred Ward,1256,99454,61182,337,4.6e-05
535,28641,Terence Stamp,1057,99678,61269,225,2.8e-05
541,13726,Ned Beatty,1301,99029,61705,194,3e-05
547,54415,Josh Gad,1183,99085,61756,205,7e-06
548,20089,Jena Malone,1110,99245,61615,259,-4.7e-05
549,3417,Tony Goldwyn,1167,99160,61586,316,2.6e-05
555,1812,Michelle Williams,1295,98595,62191,148,-5e-06
557,5538,Ray Winstone,1072,99018,61980,159,5e-06
558,42993,Martin Donovan,1307,98560,62180,182,-2.7e-05
560,378,Jonathan Pryce,1251,98517,62272,189,-2.9e-05
561,11159,Cheech Marin,1268,98579,62093,289,-4e-06
562,9464,Harry Lennix,1275,98455,62286,213,5e-06
568,6164,Josh Lucas,1013,98748,62224,244,2e-05
570,543530,Dave Bautista,1238,98086,62684,221,-1.5e-05
576,17696,Kathryn Hahn,1153,98158,62681,237,-1.2e-05
577,81685,Frank Grillo,1260,97944,62785,240,7e-06
579,6916,Peter Jason,1282,97816,62842,289,2.6e-05
581,20904,James Hong,1142,98080,62719,288,1.9e-05
582,60073,Brie Larson,907,98426,62692,204,-3.5e-05
588,1817,Linda Cardellini,1034,98061,62900,234,3.5e-05
589,10132,Colm Feore,1022,98057,62940,210,-4.1e-05
591,35029,David Harbour,1165,97699,63160,205,-2.8e-05
593,26485,Jim Belushi,1168,97637,63204,220,1e-05
594,5472,Colin Firth,1772,96416,63818,223,9e-06
595,532,Joe Pantoliano,1170,97652,63129,278,-5e-05
601,31528,Wayne Péré,1021,97657,63399,152,-2e-05
602,44735,Jesse Eisenberg,1189,97390,63416,234,-4e-05
605,4,Carrie Fisher,1063,97515,63450,201,3.9e-05
606,11661,Kate Hudson,1150,97200,63718,161,-3.8e-05
612,31531,John DiMaggio,1014,97351,63689,175,-6e-06
615,10882,Rosamund Pike,1012,97410,63549,258,-3.3e-05
617,3092,Diane Keaton,1299,96880,63705,345,3.2e-05
619,5694,Robert Forster,960,97401,63580,288,4.8e-05
620,16866,Jennifer Lopez,1098,97072,63811,248,2.8e-05
623,65,Ian Holm,1064,97109,63786,270,-4.5e-05
624,935,Connie Nielsen,1207,96740,64046,236,-4.3e-05
625,21200,Will Arnett,1117,96884,64018,210,1.9e-05
627,3292,Nicholas Hoult,1325,96444,64221,239,4.5e-05
628,18686,Holly Hunter,1005,97019,64016,189,3.8e-05
633,8977,Craig T. Nelson,1138,96760,64057,274,1.9e-05
634,15250,Hope Davis,1080,96876,64001,272,6e-06
636,2203,Neal McDonough,1149,96674,64185,221,-1.4e-05
