rank,id,pid,name,hop,avgDistance
190,10313,1813,Anne Hathaway,2,2.2891
191,10881,17039,Nick Offerman,-1,2.2892
192,10391,2882,Diane Lane,1,2.2893
193,10815,14329,Dean Norris,-1,2.2894
194,10358,2228,Sean Penn,1,2.2895
195,10493,4808,Giancarlo Esposito,1,2.2896
196,10788,12438,Bob Balaban,-1,2.2896
197,10472,4495,Steve Carell,1,2.2901
198,10342,2130,Cary Elwes,2,2.2902
199,10900,17419,Bryan Cranston,-1,2.2903
200,10195,418,Robert Patrick,2,2.2907
201,10564,6486,Dan Hedaya,-1,2.2907
202,38,1229,Jeff Bridges,1,2.2911
203,10152,32,Robin Wright,2,2.2912
204,10953,19492,Viola Davis,2,2.2914
205,10593,6968,Hugh Jackman,-1,2.2915
206,39,504,Tim Robbins,1,2.2919
207,10481,4587,Halle Berry,2,2.2921
208,10716,10859,Ryan Reynolds,1,2.2921
209,10238,938,Djimon Hounsou,1,2.2925
210,10966,20212,Dermot Mulroney,-1,2.2927
211,10443,3911,John Carroll Lynch,1,2.293
212,10947,19278,Bill Hader,-1,2.2933
213,10664,9048,Clark Gregg,1,2.2935
214,10794,12797,Glenn Morshower,1,2.2937
215,11272,61607,Adam LeFevre,-1,2.2937
216,10227,819,Edward Norton,2,2.2938
217,10588,6941,Cameron Diaz,2,2.2944
218,139,18262,Richard Riehle,2,2.2947
219,10413,3136,Salma Hayek Pinault,2,2.2949
220,11402,121718,Bill Camp,1,2.2953
221,10426,3392,Michael Douglas,-1,2.2956
222,10215,539,Thomas Lennon,-1,2.2958
223,11320,73457,Chris Pratt,-1,2.2959
224,10959,19839,David Paymer,-1,2.2961
225,10174,193,Gene Hackman,2,2.2963
226,10357,2224,Christian Slater,1,2.2963
227,10377,2461,Mel Gibson,2,2.2967
228,10927,18277,Sandra Bullock,2,2.2972
229,10404,3051,Toni Collette,-1,2.2981
230,10984,21007,Jonah Hill,2,2.2983
231,10536,5916,Rosario Dawson,2,2.2992
232,11148,43010,Thomas Rosales Jr.,2,2.2992
233,10359,2229,Catherine Keener,-1,2.2993
234,10560,6413,Danny Huston,2,2.2994
235,11018,22970,Peter Dinklage,1,2.3006
236,10580,6856,Kurt Russell,2,2.3014
237,11059,28638,David Koechner,1,2.3014
238,10194,388,Jim Broadbent,2,2.3015
239,10416,3197,Tom Sizemore,-1,2.3024
240,10466,4443,Christopher McDonald,1,2.3029
241,10659,8984,Bill Pullman,-1,2.3029
242,10681,9777,Cuba Gooding Jr.,1,2.3035
243,10719,10872,Patton Oswalt,-1,2.3035
244,5,71580,Benedict Cumberbatch,1,2.3036
245,10442,3910,Frances McDormand,2,2.3038
246,10365,2295,Mickey Rourke,1,2.3039
247,10931,18324,Steve Zahn,2,2.3039
248,10803,13023,Colleen Camp,1,2.3045
249,11103,36422,Luke Wilson,1,2.3047
250,10526,5587,Hank Azaria,-1,2.3049
